Gene	Length		a1	a2	a3	a4	a5	a6	a7	ab8	b1	b2	b3	b4	b6
CG32668	3084		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antdh	1028		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1394	867		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15200	545		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44765	333		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11106	558		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG44422	83404		0000010579;0000000595;0000003594;0000010587	0000000595;0000003592;0000003596	0000000595;0000000596;0000003596;0000018826	0000010584	0000000595;0000003593;0000003595;0000010590;0000018826	0000000595;0000000596;0000003595	0000010580;0000010582;0000000595;0000003593;0000003595;0000010588	0000010581;0000010583;0000000595;0000003593;0000010586;0000000596;0000003595	0000000595;0000003593;0000000596;0000003595;0000018826	0000010578;0000000595;0000003593;0000000596;0000003595	0000000595;0000010585;0000000596;0000003595;0000010589	0000003591;0000000595;0000000596;0000003595;0000018827	0000000595;0000003593;0000003595;0000010591
CG15198	649		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir10a	2675		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sisA	778		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(1)10Bb	1014		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1657	8686		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kap3	5897		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34348	4861		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCS1	3495		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11756	745		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1738	798		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11752	476		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1737	4931		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dsh	2843		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pa1	1693		NA	0000003597	NA	NA	NA	NA	0000003597	NA	NA	NA	NA	NA	NA
hop	7168		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tim8	838		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dlg1	40111		NA	NA	NA	NA	0000010593;0000003598	NA	NA	NA	NA	NA	0000010594	NA	NA
CG15196	1720		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr10b	1407		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gs2	7365		0000010599	NA	NA	NA	NA	0000010600;0011427333X	NA	NA	0000010598	NA	NA	NA	NA
Evi5	23863		NA	NA	NA	NA	NA	0000010602;0000010605	NA	0000010601	0000010606	NA	NA	NA	0000010603;0000010604
Sk1	3473		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HP5	4441		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43155	16718		NA	NA	0000018832	NA	0000012215;0000018831	0000010609	NA	0000003599;0000010607	0000010608	NA	0000018831	NA	NA
Cyp4g15	6175		NA	NA	NA	NA	NA	NA	0000010610	NA	NA	NA	NA	NA	NA
CG1749	1542		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spase25	1316		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33235	5027		0000003603	NA	0000003603;0000012217;0000012218	0000003600	0000003602	0000012216;0000003603	0000003603;0000018837	NA	0000018836	0000003601;0000018835	0000003603;0000018834	NA	0000003602
CR44556	661		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drak	61910		0000010611;0000010612;0000012219;0000000598	0000012219;0000003604;0000000598	0000012219;0000000598	0000012219;0000000598	0000012219;0000000598	0000012219;0000000598	0000012219;0000000598;0000018838	0000000598	0000012219;0000000598	0000012219;0000010615;0000010616;0000000598	0000010613;0000012219;0000000598	0000000598	0000012219;0000010614;0000000598
mir-2492	75		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1572	3604		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGRP-SA	1136		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RpII215	7526		NA	NA	NA	NA	0011568175X	NA	NA	NA	NA	NA	NA	0000010617	NA
CR44266	903		NA	NA	NA	NA	0011568175X	NA	NA	NA	NA	NA	NA	NA	NA
CG11699	1097		NA	NA	NA	NA	0000000599;0011568175X	NA	0000000599	NA	NA	NA	0000000599	NA	NA
Kmn1	1059		NA	NA	NA	NA	0000000599;0011568175X	NA	0000000599	NA	NA	NA	0000000599	NA	NA
CG11697	933		NA	NA	NA	NA	0000018840	NA	NA	NA	NA	NA	NA	NA	NA
CG11696	2421		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
e(y)2	502		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11695	1923		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
roX2	1367		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nod	4978		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1561	2218		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43217	716		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43216	1890		NA	NA	NA	NA	NA	NA	NA	0000012220;0000012221;0000012222;0000003605	NA	NA	NA	NA	NA
CR43215	1890		NA	0000012223;0000012224;0000003606	NA	NA	NA	NA	0000012223;0000012224;0000003607	0000003605	NA	NA	0000012223;0000012224;0000003607	NA	NA
CR43214	1890		NA	0000003606	NA	NA	0000012225;0000012226;0000003608	0000012225;0000012226;0000003608	0000003607	0000003605	0000012225;0000012226;0000003608	0000012225;0000012226;0000003608	0000003607	0000012225;0000012226;0000003608	0000012225;0000012226;0000003608
CR43213	1890		0000012227;0000012228	0000003606	0000012227;0000012228	NA	0000003608	0000003608	0000003607	0000003605	0000003608	0000003608	0000003607	0000003608	0000003608
CR43212	1890		NA	0000003606	NA	0000012229;0000012230	NA	NA	0000003607	0000003605	NA	NA	0000003607	NA	NA
CR43211	1890		NA	NA	NA	NA	NA	NA	0000003607	0000003605	NA	NA	0000003607	NA	NA
rho-4	6450		NA	NA	NA	NA	0000010618	NA	NA	NA	NA	NA	NA	NA	NA
CG2533	951		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2247	5362		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1703	3201		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPA3	743		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Met	5156		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ptp10D	55323		0000010619;0000010622;0000000600;0000000601	0000000600;0000000601;0000010629	0000010620;0000000600;0000000601	0000000600;0000010623;0000000601	0000000600;0000000601	0000000600;0000000601	0000000600;0000003609;0000000601	0000000600;0000000601;0000010628	0000010621;0000000600;0000000601;0000003610;0000010630;0000018841	0000000600;0000000601;0000003610	0000000600;0000000601;0000010626	0000000600;0000010624;0000000601;0000010627;0000003610	0000000600;0000000601;0000010625
CG2371	1245		NA	NA	NA	NA	NA	NA	0000010631	NA	NA	NA	NA	NA	NA
bif	15770		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PhKgamma	9257		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2444	990		NA	NA	NA	NA	NA	NA	0011704685X	NA	NA	NA	NA	NA	NA
FucT6	3376		NA	NA	NA	NA	NA	NA	0000018842	NA	NA	NA	NA	NA	NA
Amun	5445		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45618	657		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
prtp	3138		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tango10	3609		NA	NA	NA	NA	NA	NA	0000010633	NA	NA	NA	NA	NA	NA
CG15221	12371		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
inaF-B	8102		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
inaF-D	4431		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
inaF-A	7505		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
inaF-C	5375		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43385	1476		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
m	15235		0000000603	0000000603;0000018844	0000000603	0000000603	0000000603	0000000603	0000000603;0000012231;0000018843	0000010635	0000000603	0000000603	0000000603	0000000603;0000018844	0000000603
CG9360	1116		NA	NA	NA	NA	NA	NA	NA	0000010635	NA	NA	NA	NA	NA
dy	9015		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Karl	4872		NA	NA	NA	NA	NA	0000010637	NA	NA	NA	NA	NA	NA	NA
CR44962	981		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CkIIbeta	9054		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hsc70-3	5421		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1578	8045		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rudhira	20562		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15741	483		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43908	393		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyp28c1	1895		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15740	3437		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45619	295		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
p24-1	1621		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG10347	2239		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP7	9732		NA	0000012232	NA	NA	0000012232	NA	0000012233	NA	0000012232	0000012232	0000012232	0000012232	NA
CG2025	4242		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1847	1998		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11802	1480		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15739	2027		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG10352	1862		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG10353	9425		NA	NA	NA	NA	0000003617	NA	NA	NA	NA	NA	NA	NA	NA
SelG	956		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1840	834		NA	NA	NA	NA	NA	NA	0000003618	NA	NA	NA	NA	NA	NA
sicily	2013		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wisp	5977		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Upf1	5375		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43156	416		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pot	9851		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR32661	872		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43157	532		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sclp	4658		NA	NA	NA	NA	0000010640	NA	NA	NA	NA	NA	0000010639	0000018846	NA
CR32660	570		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000018846	NA
CG10362	4426		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cac	53807		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gd	2610		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tsg	886		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG18130	2650		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fw	10999		NA	NA	NA	NA	0000010641	NA	NA	NA	NA	NA	NA	NA	NA
CG1806	2728		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1492	2500		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
regucalcin	4998		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrac-16	736		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15735	2079		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tango4	1678		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Usp7	6195		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyp311a1	1711		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyp318a1	2651		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ten-a	291516		0000003630;0000000604;0000010659;0000010662;0000010665;0000018852	0000003630;0000000604;0000010660;0000018851	0000003625;0000010651;0000010656;0000000604;0000010658;0000003634;0000018850	0000000604;0000010664;0000003634;0000018847	0000003630;0000010651;0000000604;0000018850	0000010643;0000003623;0000012235;0000003627;0000003630;0000010653;0000003631;0000000604;0000010667;0000003635	0000003623;0000010644;0000010645;0000003630;0000003632;0000010657;0000000604;0000000605;0000018852	0000003626;0000010647;0000000604;0000010661;0000010664;0000003634;0000018852	0000003624;0000003627;0000010646;0000003630;0000003633;0000000604;0000010666;0000018852	0000003629;0000010649;0000010650;0000000604;0000018852	0000003630;0000010655;0000010657;0000000604;0000003634;0000000605;0000018852	0000010642;0000010652;0000010654;0000000604;0000018852	0000003623;0000010648;0000003628;0000000604;0000010663;0012189536X
CR43960	72343		0000018850	NA	0000003625;0000018850	0000018847	0000018850	0000010643;0000003623;0000012235;0000003627	0000003623;0000010644;0000010645;0000018850	0000003626;0000010647;0000018850	0000003624;0000003627;0000010646;0000018849	NA	0000018850	0000010642;0000018850	0000003623;0000018850
Uch-L5R	1297		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Muc11A	5349		0000018848	NA	0000003625	NA	NA	0000012235;0000003627	NA	0000003626	0000003627	NA	NA	NA	NA
CR43961	2939		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34323	826		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12721	810		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15734	556		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR32657	484		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR32658	1008		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11356	896		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2750	6157		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1924	2186		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32655	1315		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG45603	520		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2577	1330		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir11a	2159		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32651	3861		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2574	964		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR32652	1163		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pkcdelta	21426		NA	0000010673	0000003643	NA	NA	NA	0000018856	NA	0000010674	NA	NA	NA	NA
CG15927	954		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45615	487		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15731	1354		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rab40	3316		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42258	14903		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cpr11A	2478		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lsp1alpha	2691		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mks1	2202		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2556	19377		NA	NA	NA	NA	NA	NA	NA	NA	NA	0012515455X	0000010678	NA	NA
snoRNA:Me18S-G894	107		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43921	51818		0000003648;0000012240	0000012239;0000010680;0000003648;0000012240;0000018859	0000012239;0000012240;0000018859	0000003648;0000012240	0000010679;0000003648	0000012239;0000010681;0000018860	0000012240	0000003648	0000012239;0000003648;0000012240	0000012237;0000012239;0000003648;0000012240;0000018859	0000012239;0000003648;0000012240;0000018862	0000010682;0000012240	0000012238
Cpr11B	1111		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11138	14024		NA	NA	NA	NA	NA	0000010684	NA	NA	NA	NA	NA	NA	NA
LIMK1	7808		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1824	3069		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sec16	13863		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG1463	1690		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2543	3663		NA	NA	0000010685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45621	3672		NA	NA	0000010685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11085	4900		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44568	559		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15728	4153		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aven	1270		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2540	1233		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tomosyn	21837		NA	NA	NA	NA	NA	0000010687	NA	NA	NA	NA	NA	NA	NA
mir-970	94		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CkIalpha	4208		0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	0000012241	NA
Tis11	23139		0000010688	NA	NA	0000010688	NA	NA	NA	NA	0000010689	NA	NA	NA	NA
CR33963	1170		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Smr	58415		NA	0000010693	NA	NA	NA	0000010692	0000010690;0000003649	0000010694	0000010691	NA	NA	NA	NA
CG15725	2987		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43963	13329		NA	NA	NA	NA	NA	0000010692	NA	NA	NA	NA	NA	NA	NA
CR45623	379		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4004	5573		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44619	2704		NA	NA	0000010696	NA	NA	NA	0000010695	NA	NA	NA	NA	NA	NA
ade5	3581		NA	0000018865	NA	NA	NA	NA	NA	NA	NA	NA	0000012244	NA	NA
CG12717	2969		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3812	7585		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32647	13114		0000012245	NA	NA	NA	NA	NA	NA	NA	0000012245	NA	NA	NA	NA
Pde9	111764		0000003651;0000003653;0000010705;0000012247;0000012248	0000003655;0000012247;0000012248;0000018866	0000012247;0000012248;0000018866	0000003652;0000010704;0000012247;0000012248	0000003651;0000003653;0000010713;0000012247;0000012248	0000010709;0000012247;0000010714;0000012248;0000018866	0000003651;0000003653;0000003654;0000012246;0000012248;0000010716	0000003651;0000003653;0000010699;0000003655;0000010710;0000012246;0000003656;0000012248	0000010701;0000010702;0000010703;0000003655;0000010706;0000010708;0000012248;0000018867	0000010700;0000010712;0000012248;0000018866	0000003651;0000003653;0000010711;0000012246;0000010715;0000012248	0000010698;0000010707;0000012247;0000012248;0000018866	0000012247;0000012248;0000018866
CG3775	2571		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4661	2034		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32650	1166		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32649	2346		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4407	2163		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4404	2273		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRpL49	837		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brms1	1636		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4645	2117		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45625	449		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45626	878		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fne	32940		0000000607	0000010719;0000000607;0000018868	0000010717;0000010718;0000000607	0000000607	0000000607	0000000607;0000010722	0000000607;0000018868	0000003658;0000000607	0000010719;0000000607;0000010723;0000018868	0000003657;0000000607	0000000607	0000000607	0000003657;0000010720;0000010721;0000000607
hec	7026		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003659	NA	NA
CG32642	1570		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mur11Da	2168		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43636	2737		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15721	3256		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43152	790		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12716	1548		NA	NA	NA	NA	NA	NA	NA	NA	NA	0000010726	NA	NA	NA
CG32643	547		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rad	90455		0000010731;0000003664;0000010736;0000012250	0000012250	0000012250	0000010732;0000003664;0000012250	0000010730;0000012250	0000010728;0000003667;0000012249	0000003662;0000012250;0000018869	0000003666;0000012250	0000010733;0000003663;0000003664	0000003661;0000010734;0000012250;0000010738	0000010737;0000012250;0000018869	0000003665;0000012250	0000010729;0000010735;0000003663;0000003664;0000012250
CG15719	924		0000010731	NA	NA	0000010732	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2209	751		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12715	2481		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44840	471		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-971	95		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hep	11229		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lic	2841		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2200	1433		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43313	16891		NA	NA	NA	NA	0000010739	0000003669	NA	NA	NA	NA	NA	NA	NA
Fer3HCH	812		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42237	7935		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32638	5918		NA	NA	NA	NA	0000010740	NA	NA	NA	NA	0000003672;0000010741	NA	NA	NA
snmRNA:204	34		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32645	14263		0000012251	0000012251	0000012251	0000012251	0000012251	0000012251	0000012251	0000012251	0000012251	0000012251	0000012251;0000010742	0000012251	0000012251
CG4318	1463		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4332	2334		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bap60	2063		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12096	3250		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lgr4	27450		0000010744;0000012252	0000003674	0000003673;0000012253;0000018870	0000010745;0000012252	NA	0000012252	NA	0000010743;0000010746	NA	NA	NA	0000010747	0000003674
CG32640	518		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG32641	518		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12723	2240		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2453	1457		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sno	16175		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG44437	1092		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REG	2083		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mew	44081		0000012255	0000012255	0000012255;0000018871	0000012255	0000012255;0000018873	0000010749;0000003675;0000012255	0000012255	0000010753;0000012255;0000018873	0000012255;0000018872	0000010751;0000003676;0000012255	0000010752;0000010754;0000012255;0000018874	0000010750;0000012254	0000012254
CG32639	641		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15742	1103		0000012255	0000012255	0000012255	0000012255	0000012255	0000012255	0000012255	0000012255	0000012255	0000012255	0000012255	0000012254	0000012254
comt	3467		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HDAC4	22945		0000012256	0000010757;0000012256	0000012256	0000012256	0000012256	0000012256	0000012256	0000010756;0000012256	0000010755;0000012256	0000012256;0013269240X	0000012256	0000012256;0013269240X	0000012256
CG15743	2034		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15744	6382		NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003677	NA	NA	NA
CG1764	7942		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
